Количество комнат,Площадь (м²),Этаж,Адрес,Цена ($),Цена (сом)
2,59.0,7,"Бишкек, Гагарина,  ул.Поваринская, мкр. Джал",85000,7376300
1,30.0,2,"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева",45000,3905100
3,78.0,1,"Иссык-Кульская область, Каракол",35000,3037300
1,25.0,3,"Иссык-Кульская область, с. Кара-Ой",38750,3362725
3,87.0,5,"Бишкек, Магистраль, Жукеева-Пудовкина/Аалы Токомбаева",130500,11324790
2,67.0,4,"Бишкек, Джал-23 м-н (Нижний Джал), Ахунбаева 202",103000,8938340
2,68.0,7,"Бишкек, Старый аэропорт, Ажыбек Баатыра стр. 2/1-2",88000,7636640
2,42.6,2,"Бишкек, ТЭЦ, Чуй 73/Алматинка",65000,5640700
1,45.0,7,"Бишкек, Военторг",89500,7766810
3,107.0,5,"Бишкек, Магистраль 6",123050,10678279
5,111.0,5,"Бишкек, Магистраль, Жукеева-пудовкина 29/8/Токобаева",127650,11077467
2,66.0,5,"Бишкек, Лебединовка/Ауэзова",70000,6074600
1,32.0,11,"Бишкек, Магистраль,  ул. Куттубаева, 15",42000,3644760
2,62.0,6,"Бишкек, Джальская больница,  ул. Айни 95",91000,7896980
5,92.0,1,"Бишкек, Московская - Уметалиева",135000,11715300
5,158.0,10,"Бишкек, Горького - Панфилова, Абая 40/Горького",230000,19959400
1,49.0,4,"Бишкек, Кок-Жар ж/м, Куйручука 28",54500,4729510
1,49.0,2,"Бишкек, Магистраль, просп. Токомбаева/Жукеева-Пудовкина",72000,6248160
2,58.0,6,"Бишкек, Московская - Уметалиева, Киевская 210",92000,7983760
3,70.0,7,"Бишкек, Моссовет",108000,9372240
2,76.0,2,"Бишкек, Аламедин-1 м-н, Загорская 58/Калинина",102000,8851560
3,62.0,5,"Бишкек, Аламедин-1 м-н",70000,6074600
5,167.0,5,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",217100,18839938
3,121.0,3,"Бишкек, Юбилейка, Ала Арча 3, 30к",217800,18900684
1,38.45,2,"Бишкек, Гагарина,  ул.Космическая 96",38000,3297640
1,40.0,5,"Бишкек, Цирк/Дворец бракосочетания",62999,5467053
1,46.0,11,"Бишкек, с. Кок-Джар, с. Кок-Жар, ул.Конур Осмона",65999,5727393
2,69.0,7,"Бишкек, 11 м-н,  ул. Саякабай Каралаева 13/9",94000,8157320
3,138.8,6,"Бишкек, Золотой квадрат, Раззакова 22",345000,29939100
2,59.49,15,"Бишкек, Военторг, Манасчы Сагынбая 168",63000,5467140
3,135.0,3,"Бишкек, Магистраль, Ала Арча 3, 30к",243000,21087540
3,122.0,4,"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",140300,12175234
1,32.0,2,"Бишкек, Мед. академия",60000,5206800
3,110.0,3,"Бишкек, Магистраль, Б. Баатыра/А.Токомбаева",165000,14318700
2,48.0,14,"Бишкек, VEFA, Кулатова/Элебаева",92000,7983760
5,141.5,10,"Бишкек, Магистраль, Токомбаева/Сухэ Батора",228000,19785840
3,78.0,7,"Бишкек, Асанбай м-н",112500,9762750
2,74.0,10,"Бишкек, Средний Джал м-н",92500,8027150
1,33.0,2,"Бишкек, 5 м-н",60000,5206800
1,62.79,5,"Бишкек, Кок-Жар ж/м, 7 апреля/ Сухэ Батора",79950,6938061
5,156.0,5,"Бишкек, 9 м-н",209000,18137020
1,34.0,4,"Бишкек, Тунгуч м-н",58000,5033240
1,39.0,4,"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева",56000,4859680
2,43.0,4,"Бишкек, Военторг",86000,7463080
1,46.87,14,"Бишкек, Магистраль,  ул. Куттубаева, 15",42000,3644760
3,91.0,5,"Бишкек, Джальская больница,  ул.Айни 73",110900,9623902
1,35.0,2,"Бишкек, Аламедин-1 м-н",60000,5206800
1,43.0,5,"Бишкек, Московская - Белинка",43000,3731540
2,64.0,1,"Бишкек, 12 м-н, 12 микрорайон (за Мечетью)",88500,7680030
3,109.0,3,"Бишкек, 12 м-н",190000,16488200
2,76.0,9,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",117000,10153260
2,61.19,2,"Бишкек, Магистраль,  ул. Куттубаева, 15",59500,5163410
3,58.0,3,"Бишкек, Центральная мечеть, Боконбаева/Правда",82000,7115960
1,44.0,8,"Бишкек, Ак-Орго ж/м",65000,5640700
1,35.0,8,"Бишкек, Кок-Жар ж/м",53000,4599340
2,80.0,8,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",92000,7983760
2,83.0,7,"Бишкек, АЮ Grand, мкр. Тунгуч",108000,9372240
2,80.0,5,"Бишкек, Политех, Ажыбек Баатыра 15/Шота Руставели",150000,13017000
3,159.0,3,"Бишкек, Академия Наук, Турусбекова/Чуй",260000,22562800
2,50.0,2,"Бишкек, Ак-Ордо ж/м",75000,6508500
2,128.0,3,"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",199680,17328230
1,36.0,8,"Бишкек, 12 м-н",65500,5684090
1,50.59,10,"Бишкек, Магистраль",66000,5727480
3,102.0,10,"Бишкек, Джальская больница",95000,8244100
3,87.0,6,"Бишкек, Рабочий Городок,  ул.Льва Толстого/Садырбаева",82650,7172367
2,49.0,7,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",95000,8244100
1,48.0,10,"Бишкек, АЮ Grand, мкр. Тунгуч",45000,3905100
1,54.0,5,"Бишкек, Кок-Жар ж/м, Кок-Жар, ул.Куйручук 28",52000,4512560
2,85.0,11,"Бишкек, Магистраль, пр. Ч. Айтматова",121500,10543770
1,46.0,12,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",70000,6074600
5,150.0,2,"Бишкек, Киргизия-2 м-н",290000,25166200
2,67.0,2,"Бишкек, Госрегистр, Л.Толстого и пр. Чынгыза Айтматова",77500,6725450
3,102.4,10,"Бишкек, 7 м-н, 7-й микрорайон, 38",126000,10934280
3,133.0,12,"Бишкек, 7 м-н, 7-й микрорайон, 52",274000,23777720
2,74.0,14,"Бишкек, 12 м-н, 12-й микрорайон, 2",92000,7983760
3,68.9,7,"Бишкек, Асанбай м-н, Асанбай мкр., 13",115000,9979700
2,58.0,3,"Бишкек, Магистраль, Токомбаева, 21",101500,8808170
1,37.7,1,"Бишкек, Лебединовка, Кольбаева, 36",46000,3991880
6,165.0,9,"Бишкек, Сквер Тоголок Молдо, Московская, 147",275000,23864500
2,58.0,8,"Бишкек, Горького - Алма-Атинская, Максима Горького, 1Б",57500,4989850
2,59.0,8,"Бишкек, Магистраль, Куттубаева, 15",89000,7723420
2,45.0,12,"Бишкек, АЮ Grand, Чокана Валиханова, 18к",45500,3948490
2,32.0,3,"Бишкек, Политех, Ахунбаева",68000,5901040
3,85.0,8,"Бишкек, VEFA, Кулатова/Элебаева",113900,9884242
1,45.0,8,"Бишкек, Нижний Токольдош",62000,5380360
2,74.29,14,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",84000,7289520
2,63.0,3,"Бишкек, с. Кок-Джар",78000,6768840
2,68.0,6,"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",77000,6682060
2,69.0,9,"Бишкек, Аламединский рынок, Торокула Айтматова/Салиева",71000,6161380
2,85.0,11,"Бишкек, Проспект Айтматова",123000,10673940
2,61.0,4,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",124500,10804110
5,120.0,7,"Бишкек, Джал-23 м-н (Нижний Джал)",147000,12756660
3,58.0,5,"Бишкек, 10 м-н, 10 мкр 22",80500,6985790
3,65.0,2,"Бишкек, Джальская больница,  ул.Айни 73",87750,7614945
2,78.0,4,"Бишкек, Магистраль, Магистраль/Сухэ Батора",138000,11975640
1,47.0,4,"Бишкек, Кок-Жар ж/м, Куйручука 28",52000,4512560
3,62.0,2,"Бишкек, 11 м-н 21",120000,10413600
3,54.0,4,"Бишкек, Душанбинка",76000,6595280
3,75.0,5,"Бишкек, 10 м-н",95000,8244100
1,53.0,7,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",65300,5666734
1,52.0,2,"Бишкек, Гагарина, Тимура Фрунзе/Гагарина",50000,4339000
2,47.0,8,"Бишкек, АЮ Grand",67500,5857650
2,59.0,6,"Бишкек, Лебединовка,  ул.Ленина(быв Салиева), пер. Чкалова",57000,4946460
1,41.0,12,"Бишкек, АЮ Grand,  ул. Анкара 1/31",47500,4122050
3,95.0,5,"Бишкек, VEFA, Кулатова/Элебаева",118500,10283430
1,41.0,3,"Бишкек, Таатан",60500,5250190
3,186.0,13,"Бишкек, Ак Кеме, Толомуш Океева 39",460000,39918800
1,42.0,3,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",50500,4382390
1,40.5,5,"Бишкек, Матросова, Суванбердиева 110",68000,5901040
2,60.0,3,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",129000,11194620
2,55.0,2,"Бишкек, Джал-29 м-н, Садырбаева 258а",82000,7115960
3,109.0,7,"Бишкек, Магистраль",133000,11541740
1,45.0,1,"Иссык-Кульская область, с. Сары-Ой, с. Сары-Ой, ул. Нурдоолот ата",73500,6378330
3,73.0,2,"Бишкек, Кок-Жар ж/м, Кок-Жар, ул.Куйручук 28",75000,6508500
1,42.7,11,"Бишкек, Кок-Жар ж/м, Молдокулова",45500,3948490
3,63.0,5,"Бишкек, Моссовет, Усенбаева 58 (МосСовет)",94500,8200710
2,70.0,7,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",119500,10370210
2,66.04,8,"Бишкек, с. Кок-Джар, мкр. Кок Жар",62000,5380360
1,35.0,12,"Бишкек, VEFA, Кулатова/Элебаева",67500,5857650
1,38.76,10,"Бишкек, АЮ Grand,  ул.Анкар  1/19",45500,3948490
2,70.0,6,"Бишкек, с. Кок-Джар, Алма-Aтинская/Токомбаева",93000,8070540
1,36.0,1,"Иссык-Кульская область, с. Чон-Сары-Ой",90000,7810200
3,73.3,8,"Бишкек, 12 м-н, 12-й микрорайон, 69",107000,9285460
2,75.0,5,"Бишкек, Парк Ататюрк, Малдыбаева 54а",107000,9285460
6,190.0,12,"Бишкек, Магистраль",420000,36447600
3,68.0,7,"Бишкек, Джал-23 м-н (Нижний Джал), Джал-23 мкр, 79",96000,8330880
2,72.0,8,"Бишкек, Джал-29 м-н, Садырбаева 258а",93000,8070540
3,100.0,13,"Бишкек, Гагарина, Джал, ул. Курчатова 81",132000,11454960
1,33.0,1,"Бишкек, 4 м-н, 4-й микрорайон, 14",56000,4859680
1,44.0,10,"Бишкек, Магистраль,  ул. Куттубаева, 15",50500,4382390
2,67.0,13,"Бишкек, Горького - Алма-Атинская, Горького",69000,5987820
2,67.0,5,"Бишкек, Горького - Алма-Атинская,  ул. 7-Апреля, 155в/ул. Горького",58000,5033240
3,105.0,5,"Бишкек, Московская - Уметалиева, Московская 191/Шевченко, 27/1",158000,13711240
2,55.0,9,"Бишкек, Аламедин-1 м-н",75000,6508500
2,63.3,11,"Бишкек, ЦУМ, Абдрахманова",87500,7593250
3,83.0,5,"Бишкек, Кок-Жар м-н, мкрн Кок-Жар",68400,5935752
1,43.0,9,"Бишкек, Гагарина, Тимура Фрунзе/Гагарина",58000,5033240
3,104.0,11,"Бишкек, Военторг, Тоголок Молдо/Токтогула",190000,16488200
3,58.0,1,"Бишкек, с. Аламудун",60500,5250190
3,100.5,7,"Бишкек, Магистраль,  ул. Куттубаева, 15",88000,7636640
2,69.22,14,"Бишкек, Военторг, Манасчы Сагынбая 168",84500,7332910
3,139.0,5,"Бишкек, 9 м-н",160000,13884800
2,110.76,2,"Бишкек, Магистраль, Токомбаева, 21 к 3б",143000,12409540
2,39.0,1,"Бишкек, Кок-Жар м-н",57000,4946460
5,154.0,12,"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",300000,26034000
1,41.48,9,"Бишкек, Джал 15 м-н, Джал-15 мкр, 1",48000,4165440
2,56.0,2,"Бишкек, Кудайберген",60000,5206800
5,106.0,2,"Бишкек, Политех, Ажыбек-Баатыра 7",198000,17182440
1,49.0,14,"Бишкек, Советская - Скрябина, Медерова 44/2 / Жукеева-Пудовкина",67500,5857650
2,64.6,6,"Бишкек, VEFA, Байтик-Баатыра 37",103000,8938340
2,44.0,3,"Бишкек, Парк Ататюрк, Малдыбаева",67500,5857650
5,158.0,2,"Бишкек, Магистраль, Б. Баатыра/А.Токомбаева",213000,18484140
1,36.0,2,"Бишкек, Тунгуч м-н, Микрорайон Тунгуч 72/Анкара \Ауэзова",59000,5120020
3,72.0,8,"Бишкек, Магистраль/А. Масалиева",128000,11107840
1,47.25,10,"Бишкек, Золотой квадрат, Панфилова, 165",105000,9111900
1,45.0,9,"Бишкек, 6 м-н",62500,5423750
2,101.6,15,"Бишкек, Магистраль",117000,10153260
3,58.0,1,"Бишкек, Кок-Жар м-н, Кок-Жар мкр, 2",93500,8113930
2,44.0,3,"Бишкек, ТЭЦ",80000,6942400
1,35.0,7,"Бишкек, Восток-5 м-н, Восток-5 микрорайон, 3",58500,5076630
2,64.0,9,"Бишкек, Жилгородок Ницца,  ул. Куттубаева, 15",107500,9328850
3,72.0,8,"Бишкек, Магистраль/Чынгыз Айтматова",130000,11281400
2,86.0,4,"Бишкек, Арча-Бешик ж/м, Бакаева, 203а 203а/Магистраль",103200,8955696
2,73.0,5,"Бишкек, Ден Сяопина - Фучика, Дэн Сяопина 23/Дэн Сяопина 25",65700,5701446
2,77.0,9,"Бишкек, Советская - Скрябина,  ул.Абая",123500,10717330
2,54.0,14,"Бишкек, Ак Эмир рынок, Московская/Шопокова, 38",83700,7263486
5,178.0,11,"Бишкек, Магистраль",500000,43390000
2,71.5,6,"Бишкек, Вечерка",140000,12149200
2,85.6,10,"Бишкек, Московская - Уметалиева, Ж.Боконбаева/Уметалиева",147000,12756660
1,44.0,3,"Бишкек, Аламедин-1 м-н",58500,5076630
3,58.0,3,"Бишкек, Лебединовка",76500,6638670
2,44.0,1,"Бишкек, Юбилейка",71500,6204770
5,154.0,11,"Бишкек, 12 м-н, 12-й микрорайон, 57",183000,15880740
3,80.0,3,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот) 4б/7/Магистраль",163000,14145140
3,110.0,13,"Бишкек, Парк Панфилова/Спартак, Якова Логвиненко, 55",189000,16401420
2,80.3,8,"Бишкек, Мед. академия, Абая, 58",120000,10413600
7,200.5,9,"Бишкек, 12 м-н, 12-й микрорайон, 57",270000,23430600
2,85.0,5,"Бишкек, АЮ Grand, Анкара, 40",101000,8764780
3,107.16,3,"Бишкек, Магистраль, Токомбаева, 29",132000,11454960
3,102.0,7,"Бишкек, Военторг, Сагынбая манасчы, 137",167000,14492260
1,35.0,6,"Бишкек, с. Кок-Джар, Арашан, 6",53000,4599340
3,56.0,4,"Кара-Балта, Победы квартал, 3",46800,4061304
2,45.0,3,"Бишкек, Мед. академия",72500,6291550
3,80.0,12,"Бишкек, Кок-Жар ж/м, Кок-Жар, ул.Куйручук 28",76000,6595280
1,36.0,4,"Бишкек, Ипподром",52000,4512560
2,55.0,11,"Бишкек, Золотой квадрат",73000,6334940
2,56.16,3,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",77000,6682060
3,103.0,3,"Бишкек, Горького - Алма-Атинская, Горького",93000,8070540
5,120.61,7,"Бишкек, Магистраль,  ул. Куттубаева, 15",100000,8678000
1,49.19,14,"Бишкек, Советская - Скрябина, Медерова 44/2 / Жукеева-Пудовкина",67300,5840294
5,140.0,11,"Бишкек, Джал-29 м-н, Тыналиева 9/1",197000,17095660
2,50.0,2,"Бишкек, 1000 мелочей, Суюмбаева 142/Чуй",85000,7376300
1,52.0,13,"Бишкек, Баха, Курчатова",71000,6161380
1,40.0,1,"Бишкек, ТЭЦ",53000,4599340
2,52.0,1,"Бишкек, Кудайберген, Патриса Лумумба 180",66000,5727480
1,35.0,6,"Бишкек, Кок-Жар м-н, Чуй/Медерова",58000,5033240
1,45.4,13,"Бишкек, Баха, Курчатова",61500,5336970
3,100.0,9,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",113000,9806140
1,49.2,2,"Бишкек, Горького - Алма-Атинская,  ул. 7 Апреля (Алматинка/Горького)",56000,4859680
2,74.17,13,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",90500,7853590
3,130.24,2,"Бишкек, Магистраль,  ул. Куттубаева, 15",132500,11498350
1,55.0,14,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",63500,5510530
1,48.11,17,"Бишкек, 11 м-н",58000,5033240
2,43.0,1,"Бишкек, Кок-Жар м-н",61499,5336883
2,70.0,6,"Бишкек, Политех, г. Бишкек, ул.Целинная 21 (район Политех)",125000,10847500
1,42.0,10,"Бишкек, Горького - Алма-Атинская",46000,3991880
1,40.25,8,"Бишкек, Ленинский район,  ул. Барпы Алыкулова/Южная Магистраль",42000,3644760
3,81.0,7,"Бишкек, АУЦА, Токомбаева, 9",117000,10153260
2,48.0,1,"Бишкек, Аламедин-1 м-н, Аламедин-1 микрорайон, 3",76000,6595280
1,42.0,10,"Бишкек, Горького - Алма-Атинская",46000,3991880
3,84.0,2,"Бишкек, Академия Наук",155000,13450900
5,103.0,3,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",247000,21434660
1,41.34,9,"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",46500,4035270
2,48.0,4,Токмок,50000,4339000
1,36.37,6,"Бишкек, Горького - Алма-Атинская, Горького",34000,2950520
1,31.0,5,"Бишкек, Достук м-н, Кайназарова 11/1",41000,3557980
3,72.0,9,"Бишкек, с. Кок-Джар, Магистраль/7 апреля",62500,5423750
1,40.0,11,"Бишкек, Достук, Жумабека/Шопокова",56000,4859680
3,72.0,7,"Бишкек, Карпинка",98000,8504440
1,38.0,4,"Бишкек, с. Кок-Джар",57000,4946460
1,35.0,2,"Бишкек, Джал-23 м-н (Нижний Джал)",64000,5553920
1,48.0,12,"Бишкек, АЮ Grand, мкр. Тунгуч",49500,4295610
3,76.0,13,"Бишкек, VEFA, Кулатова/Элебаева",142000,12322760
3,140.0,12,"Бишкек, Магистраль, просп. Чингиза Айтматова 82/2/Масалиева",230000,19959400
5,227.0,14,"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",435000,37749300
2,43.0,1,"Бишкек, 4 м-н",71500,6204770
1,63.5,5,"Бишкек, Горького - Алма-Атинская",58500,5076630
2,76.6,9,"Бишкек, Магистраль, Сухэ Батора",132000,11454960
3,64.0,1,"Бишкек, 11 м-н",92000,7983760
1,43.0,5,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",63000,5467140
2,52.0,11,"Бишкек, Политех, Ажыбек-Баатыра 10в",105000,9111900
5,142.0,10,"Бишкек, Магистраль, Токомбаева 29/Сухэ Батора",218000,18918040
1,45.0,16,"Бишкек, Джальская больница, Островская 136а/Айни",52000,4512560
3,62.0,3,"Бишкек, Моссовет",115000,9979700
2,68.8,4,"Бишкек, Пишпек ж/м, Алыбаева мидина",58500,5076630
2,63.0,6,"Бишкек, Магистраль,  ул. Куттубаева, 15",79500,6899010
2,58.0,8,"Бишкек, Асанбай м-н, Токомбаева/Куттубаева",113000,9806140
5,138.0,11,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",164220,14251012
1,51.0,13,"Бишкек, Баха, Курчатова",44000,3818320
2,60.0,9,"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",61000,5293580
2,74.0,7,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",92500,8027150
3,90.0,13,"Бишкек, Магистраль, Арстанбека Дуйшеева 9",117000,10153260
2,79.0,3,"Бишкек, Юбилейка, Байтик Баатыра",142200,12340116
1,19.4,3,"Бишкек, Юбилейка, Фатьянова 4/Лев Толстой",28500,2473230
1,47.0,5,"Бишкек, с. Кок-Джар, Конур осмон 6/1",68999,5987733
2,69.0,7,"Бишкек, Горького - Алма-Атинская, Горького/ Алма-Атинская",58650,5089647
1,51.0,7,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",53000,4599340
1,35.0,2,"Бишкек, 11 м-н, Турусбекова 13",43000,3731540
2,83.2,5,"Бишкек, Магистраль, Сухэ Батора/Южная Магистраль",91500,7940370
3,96.0,1,"Бишкек, Асанбай м-н 14",160000,13884800
2,75.24,17,"Бишкек, Военторг, Манасчы Сагынбая 168",87000,7549860
3,104.34,10,"Бишкек, Моссовет",156500,13581070
1,45.0,12,"Бишкек, Академия Наук, Тимирязева/Абдумомунова",61000,5293580
1,38.0,1,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",65000,5640700
1,44.5,6,"Бишкек, Средний Джал м-н, мкр Джал-23 18/2",59500,5163410
3,56.0,3,"Бишкек, Бишкек-Парк",92000,7983760
2,61.0,6,"Бишкек, Тунгуч м-н, мкр. Тунгуч",78000,6768840
2,75.0,4,"Бишкек, Магистраль, Малдыбаева 279",152500,13233950
1,50.0,7,"Бишкек, Чуй - Алматинка, Чуй/Курманжан Датка",65000,5640700
3,99.0,12,"Бишкек, Чуй - Алматинка, пр.Чуй/АлмаАтинка",89100,7732098
2,58.0,1,"Бишкек, Молодая Гвардия, Алаарчинская",72500,6291550
2,69.0,6,"Бишкек, с. Кок-Джар, мкр. Кок Жар",73500,6378330
2,50.0,6,"Бишкек, Цирк/Дворец бракосочетания",70000,6074600
1,47.8,5,"Бишкек, 11 м-н",52580,4562892
2,88.0,6,"Бишкек, 7 м-н, Юнусалиева 173/2",148000,12843440
2,72.0,8,"Бишкек, Гагарина,  ул.Космическая 96",61200,5310936
2,58.0,9,"Бишкек, Магистраль, пр. Ч. Айтматова",89900,7801522
3,107.0,9,"Бишкек, Военторг, Токтогула/Тоголок Молдо",205000,17789900
3,110.0,8,"Бишкек, Магистраль, Аалы Токомбаева улица 15/3/Токомбаева",235000,20393300
1,45.46,13,"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",55500,4816290
2,80.0,6,"Бишкек, Магистраль,  ул. Малдыбаева, 261",76000,6595280
2,53.0,7,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",92000,7983760
2,60.18,2,"Бишкек, Магистраль,  ул. Куттубаева, 15",75000,6508500
2,76.0,15,"Бишкек, Джал 15 м-н",105000,9111900
5,149.0,5,"Бишкек, Старый аэропорт, пр. Чингиза Айтматова 96/1",286000,24819080
3,58.0,2,"Бишкек, 4 м-н",96000,8330880
2,44.0,4,"Бишкек, Юбилейка",66000,5727480
3,64.0,7,"Бишкек, Джал-23 м-н (Нижний Джал)",89500,7766810
3,68.0,1,"Бишкек, Гагарина",112000,9719360
2,79.4,8,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",91310,7923882
1,42.7,11,"Бишкек, Кок-Жар ж/м, Молдокулова 100",42000,3644760
5,84.0,3,"Бишкек, Сквер Тоголок Молдо, Московская 154/Исанова",198000,17182440
1,39.8,1,"Бишкек, Джальская больница, Джал-15 мкр, 9",63000,5467140
3,58.0,2,"Бишкек, 4 м-н, 4-й микрорайон, 22",97000,8417660
3,53.0,3,"Бишкек, Советская - Скрябина",98000,8504440
2,83.0,5,"Бишкек, Горького - Панфилова, Абая 40/Горького",132000,11454960
2,96.0,3,"Бишкек, Московская - Уметалиева",119500,10370210
2,87.8,2,"Бишкек, Ак Кеме, Чынгыза Айтматова пр-т, 91",160000,13884800
3,64.0,9,"Бишкек, 6 м-н",115000,9979700
3,84.0,2,"Бишкек, Гагарина",130000,11281400
1,47.7,6,"Бишкек, Магистраль, Токомбаева, 21 к 4 стр 1",63000,5467140
3,77.0,1,"Бишкек, Цирк/Дворец бракосочетания",108000,9372240
1,38.0,5,"Бишкек, Горького - Алма-Атинская",41000,3557980
1,43.0,2,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",67000,5814260
5,240.0,2,"Бишкек, Московская - Уметалиева, Московская Свердлова/32",330000,28637400
6,400.0,12,"Бишкек, Магистраль, Токомбаева 21/1г",550000,47729000
6,650.0,6,"Бишкек, Сквер Тоголок Молдо, Московская 147/Исанова",750000,65085000
2,60.0,6,"Бишкек, Пишпек ж/м, Репина, 1",64000,5553920
7,266.0,2,"Бишкек, Золотой квадрат, Орозбекова 32/Московская",460000,39918800
3,64.0,5,"Бишкек, Магистраль, Токомбаева, 23 стр 12",108000,9372240
3,62.0,4,"Бишкек, Восток-5 м-н, Восток-5 микрорайон, 20",83000,7202740
5,154.0,2,"Бишкек, Сквер Тоголок Молдо, Чуйкова 132а/Коенкозова",220000,19091600
2,76.0,8,"Бишкек, Ипподром, Л. Толстого 126/Садырбаева (Баха)",70000,6068300
1,33.0,5,"Бишкек, Ден Сяопина - Фучика, Лесхозная 2а/Жибек- Жолу/Фучика",41000,3557980
2,44.0,4,"Бишкек, Центральная мечеть, Гоголя 7/Бокомбаева",68500,5938265
1,50.0,5,"Бишкек, Карпинка, Суюмбаева 123/1",70000,6074600
2,80.0,5,"Ошская область, Ош 26",96000,8330880
2,42.9,3,"Бишкек, Молодая Гвардия",75000,6508500
3,73.5,2,"Бишкек, Кок-Жар ж/м",64000,5553920
3,57.0,4,"Бишкек, Молодая Гвардия",85000,7376300
1,40.0,4,"Бишкек, VEFA, Кулатова 18/Советская",77001,6682147
2,52.2,1,"Бишкек, Верхний Джал м-н, Мкр. Верхний джал 39",69500,6031210
2,72.0,7,"Бишкек, Гагарина,  ул.Космическая 96",61200,5310936
2,72.0,7,"Бишкек, Пишпек ж/м,  ул. Льва Толстого - Крылова",64800,5623344
1,52.0,8,"Бишкек, Горького - Алма-Атинская, Горького",55000,4772900
2,58.4,14,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",67160,5828145
1,41.5,9,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",63500,5510530
3,90.0,2,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",135000,11715300
2,68.0,5,"Бишкек, с. Кок-Джар, Алма-Атинская/Южная магистраль",94500,8200710
1,45.0,7,"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",71000,6161380
2,58.0,8,"Бишкек, Магистраль, пр. Ч. Айтматова",89900,7801522
3,99.0,15,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",97500,8461050
1,40.0,2,"Бишкек, Восток-5 м-н, Кийизбаевой",65000,5640700
3,72.0,2,"Бишкек, Кок-Жар ж/м, ж/м Кок-Жар, ул. Тон",87000,7549860
3,58.0,2,"Бишкек, 8 м-н",90000,7810200
2,59.0,7,"Бишкек, Кок-Жар м-н",87500,7593250
1,34.0,8,"Бишкек, Кок-Жар м-н",57500,4989850
3,60.0,2,"Бишкек, Моссовет, Абдрахманова 135/Токтогула",85000,7376300
3,110.0,3,"Бишкек, Лебединовка, Ленина/Кузнечная",126500,10977670
3,56.0,3,"Бишкек, Мед. академия, Тыныстанов",73900,6413042
3,132.0,9,"Бишкек, Аламедин-1 м-н",155000,13450900
2,58.0,1,"Бишкек, 10 м-н",92000,7975480
1,23.0,3,"Бишкек, Космос, Панфилова 1а",29000,2516620
3,67.0,3,"Бишкек, Кок-Жар ж/м",85000,7376300
1,48.0,7,"Бишкек, АЮ Grand",66300,5753514
3,88.0,6,"Бишкек, Магистраль",123000,10662870
2,54.0,2,"Бишкек, Учкун ж/м",63500,5510530
3,58.0,1,"Бишкек, Московская - Уметалиева, Чокморова/Уметалиева",79500,6899010
3,89.55,14,"Бишкек, Гоин, Жибек-Жолу/Тыныстанова",115520,10024782
3,95.0,9,"Бишкек, Сквер Тоголок Молдо, Чуйкова",174000,15099720
3,104.0,3,"Бишкек, Джал 15 м-н",150000,13017000
3,90.0,7,"Бишкек, Юг-2 м-н, Радищева/Горького",136000,11802080
