Количество комнат,Площадь (м²),Этаж,Адрес,Цена ($),Цена (сом)
2,83.0,4,"Бишкек, 6 м-н, Сухэ-Батора-Юнусалиева",180000,15620400
3,95.0,9,"Бишкек, 6 м-н, Каралаева 7/4",180000,15620400
3,125.0,2,"Бишкек, Золотой квадрат",232000,20132960
3,98.0,8,"Бишкек, Карла Маркса,  ул. Юнусалиева, пер.Карасаева",124460,10800639
2,43.0,4,"Бишкек, Юг-2 м-н, фатьянова/кулатова",70000,6074600
5,133.0,10,"Бишкек, ЖД вокзал, Панфилова 145",197000,17095660
5,103.0,2,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",167890,14569494
3,121.0,3,"Бишкек, Комфорт, Токтогула/Усенбаева",230000,19959400
1,35.0,10,"Бишкек, Восток-5 м-н",57500,4989850
2,66.0,4,"Бишкек, с. Кок-Джар, мкр. Кок Жар",64000,5553920
2,78.0,7,"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",95160,8257985
1,50.0,12,"Бишкек, Советская - Скрябина, Абая/Ахунбаева",81000,7029180
3,126.4,9,"Бишкек, Советская - Скрябина, Медерова, 50",200000,17356000
6,137.0,5,"Бишкек, Душанбинка, Токтоналиева, 6",220000,19091600
2,80.0,14,"Бишкек, Арча-Бешик ж/м,  ул. Баха / Южная Магистраль",92000,7983760
3,119.0,13,"Бишкек, Арча-Бешик ж/м,  ул. Баха / Южная Магистраль",137425,11925742
1,41.46,4,"Бишкек, Джал 15 м-н, Джал-15 мкр, 1",51500,4469170
1,38.0,8,"Бишкек, Магистраль, Токомбаева, 21 к 3б",93000,8070540
2,72.0,7,"Бишкек, с. Кок-Джар, Алма-Aтинская/Токомбаева",78500,6812230
2,58.0,12,"Бишкек, Асанбай м-н, Токомбаева/Куттубаева",72500,6291550
2,44.0,2,"Бишкек, Карпинка, герцена",80000,6942400
1,53.0,2,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",66000,5727480
3,124.0,9,"Бишкек, Центральная мечеть, Суюмбаева 14а/Московская",124000,10760720
8,87.0,1,"Бишкек, Моссовет, Усенбаева 58 (МосСовет)",261000,22649580
5,200.0,7,"Бишкек, Московская - Уметалиева",215000,18657700
3,90.0,11,"Бишкек, АЮ Grand,  ул. Анкара 1/31",85000,7376300
1,52.0,6,"Бишкек, Гагарина, мкр Джал , ул. Курчатова 63",55000,4772900
5,119.0,10,"Бишкек, Кок-Жар ж/м, Куюрчук 30",155000,13450900
3,126.0,9,"Бишкек, 12 м-н",142000,12322760
2,46.0,12,"Бишкек, Восточный автовокзал, Жибек-Жолу 222",64531,5600000
3,180.0,2,"Бишкек, Парк Ататюрк, Малдыбаева 115",306000,26554680
2,61.0,8,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",125000,10847500
3,97.0,1,"Бишкек, Достук м-н",87900,7627962
1,35.0,10,"Бишкек, VEFA, Кулатова/Элебаева",70500,6117990
1,46.0,9,"Бишкек, Арча-Бешик ж/м, Исакеева/Виноградная",50000,4334500
1,50.0,4,"Бишкек, Магистраль,  ул. Малдыбаева, 261",55000,4772900
5,166.0,4,"Бишкек, Джальская больница,  ул. Айни 84",174300,15110067
2,66.0,9,"Бишкек, Сквер Тоголок Молдо, Боконбаева/Логвиненко",123500,10717330
1,40.0,7,"Бишкек, Физкультурный, Жукеева-Пудовкина 43/12/Жантошева",44000,3818320
2,60.0,5,"Бишкек, Физкультурный, Жукеева-Пудовкина 43/12/Жантошева",66000,5727480
1,42.0,8,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",67500,5857650
1,44.0,7,"Бишкек, Аламедин-1 м-н, кольбаева 43/1",66300,5753514
5,88.0,3,"Бишкек, Гагарина, Айни, 209",88000,7636640
3,100.0,6,"Бишкек, Магистраль,  ул. Куттубаева, 15",75000,6508500
1,64.0,2,"Бишкек, Московская - Уметалиева, Московская 191/Шевченко, 27/1",90000,7810200
1,47.46,14,"Бишкек, АЮ Grand, Ауэзова 5/3",47900,4156762
3,87.0,10,"Бишкек, Джал 15 м-н/Тыналиева",129999,11281313
2,57.0,4,"Бишкек, Горького - Алма-Атинская",70000,6074600
1,55.6,5,"Бишкек, 1000 мелочей",71000,6161380
2,73.0,9,"Бишкек, Ден Сяопина - Фучика, Ден Сяопина пр-т, 23",70000,6074600
1,35.0,4,"Бишкек, Сквер Тоголок Молдо, Чуйкова 134",70500,6117990
7,600.0,10,"Бишкек, Золотой квадрат, Эркиндик бульвар, 9",710000,61613800
2,45.0,2,"Бишкек, 9 м-н",75000,6508500
1,53.0,8,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",74000,6421720
3,113.0,7,"Бишкек, Горького - Панфилова, Каракульская 1",195000,16922100
5,145.95,11,"Бишкек, Джальская больница,  ул.Айни 73а/Островского",150000,13017000
1,53.0,4,"Бишкек, Мед. академия, Абая/Ахунбаева",85500,7419690
1,49.0,10,"Бишкек, Кара-Жыгач ж/м, Кара-жыгач",50000,4339000
3,88.0,8,"Бишкек, Рабочий Городок,  ул.Льва Толстого/Садырбаева",91000,7896980
2,48.5,12,"Бишкек, Кок-Жар ж/м",73500,6378330
1,32.0,2,"Бишкек, 6 м-н",63500,5510530
3,158.0,1,"Бишкек, Ген прокуратура, Токтоналиева 139/3",370000,32108600
2,75.88,13,"Бишкек, Магистраль,  ул. Куттубаева, 15",66000,5727480
1,36.0,8,"Бишкек, 12 м-н, Каралаева/Жетикашкаева",65500,5684090
1,33.0,2,"Бишкек, Городок строителей",56000,4859680
2,75.88,14,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",59000,5120020
2,84.79,8,"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",101700,8825526
3,58.0,1,"Бишкек, 11 м-н",86000,7463080
1,43.0,3,"Бишкек, Центральная мечеть",61500,5336970
3,58.0,2,"Бишкек, Кызыл-Аскер ж/м, Мессароша",67000,5814260
2,71.0,13,"Бишкек, Военторг, Исанова 45",112000,9719360
2,43.0,1,"Бишкек, Политех",61000,5293580
3,80.0,12,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",131000,11368180
2,78.0,14,"Бишкек, Магистраль, Куттубаева",121000,10500380
1,60.0,14,"Бишкек, Магистраль,  ул.Рыскулова / Коенкозова",62500,5423750
3,87.0,6,"Бишкек, Пишпек ж/м, Репина/М. Алыбаева",72000,6248160
