Количество комнат,Площадь,Этаж,Полный адрес,Цена (доллары),Цена (сомы)
1,39 м2,1 этаж из 10,"Бишкек, Арча-Бешик ж/м",$ 63 000,5 461 470 сом
3,131 м2,5 этаж из 14,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",$ 138 860,12 037 773 сом
1,54 м2,12 этаж из 14,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",$ 98 000,8 495 620 сом
3,93 м2,7 этаж из 12,"Бишкек, Горького - Алма-Атинская, Горького/ Алма-Атинская",$ 82 000,7 108 580 сом
2,76.08 м2,9 этаж из 14,"Бишкек, Магистраль",$ 98 200,8 512 958 сом
1,48.7 м2,10 этаж из 10,"Бишкек, Старый аэропорт",$ 70 000,6 068 300 сом
2,138 м2,16 этаж из 17,"Бишкек, Бишкек-Парк, Токтогула/Исанова",$ 222 000,19 245 180 сом
3,109 м2,11 этаж из 12,"Бишкек, Московская - Уметалиева, Московская 191/Шевченко, 27/1",$ 165 000,14 303 850 сом
3,86 м2,2 этаж из 10,"Бишкек, Гагарина, репина 159",$ 86 000,7 455 340 сом
2,54 м2,2 этаж из 4,"Бишкек, Джал-23 м-н (Нижний Джал)",$ 95 000,8 235 550 сом
3,89 м2,1 этаж из 14,"Бишкек, АЮ Grand,  ул.Анкар  1/19",$ 128 000,11 096 320 сом
2,70 м2,8 этаж из 12,"Бишкек, Магистраль, Токомбаева 29/5",$ 97 000,8 408 930 сом
2,64 м2,2 этаж из 7,"Бишкек, с. Кок-Джар",$ 107 000,9 275 830 сом
1,45 м2,14 этаж из 14,"Бишкек, Гагарина, Джал, ул. Курчатова 81",$ 60 000,5 201 400 сом
1,47 м2,5 этаж из 17,"Бишкек, 11 м-н",$ 42 300,3 666 987 сом
2,72 м2,1 этаж из 4,"Бишкек, 4 м-н 14/1",$ 97 000,8 408 930 сом
5,103 м2,3 этаж из 14,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",$ 240 000,20 805 600 сом
3,86 м2,5 этаж из 16,"Бишкек, Магистраль, Жукеева-Пудовкина/Аалы Токомбаева",$ 111 800,9 691 942 сом
3,144 м2,6 этаж из 12,"Бишкек, Парк Ататюрк",$ 187 000,16 211 030 сом
3,96 м2,5 этаж из 17,"Бишкек, Ипподром, Л. Толстого 126",$ 72 000,6 241 680 сом
2,77 м2,13 этаж из 14,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",$ 87 000,7 542 030 сом
1,53.3 м2,5 этаж из 14,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",$ 70 000,6 068 300 сом
3,68 м2,3 этаж из 9,"Бишкек, Асанбай м-н, Магистраль 25",$ 114 000,9 882 660 сом
2,43 м2,2 этаж из 4,"Бишкек, Парк Ататюрк",$ 65 500,5 678 195 сом
1,48 м2,4 этаж из 13,"Бишкек, Военторг, Сыдыкова/Тоголок Молдо",$ 72 000,6 241 680 сом
3,113 м2,7 этаж из 9,"Бишкек, Горького - Панфилова, Каракульская 1",$ 195 000,16 904 550 сом
1,39 м2,4 этаж из 5,"Бишкек, Ден Сяопина - Фучика, Харьковская 35",$ 53 000,4 594 570 сом
2,45.5 м2,5 этаж из 5,"Бишкек, 8 м-н",$ 72 000,6 241 680 сом
3,83 м2,5 этаж из 14,"Бишкек, Горького - Алма-Атинская, 7 апреля 1а/1",$ 66 500,5 764 885 сом
3,97 м2,7 этаж из 9,"Бишкек, КНУ, Уметалиева 157/Жумабека",$ 174 000,15 084 060 сом
5,103 м2,3 этаж из 14,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",$ 237 000,20 545 530 сом
2,60 м2,2 этаж из 9,"Бишкек, Ак-Орго ж/м",$ 66 000,5 721 540 сом
2,44 м2,3 этаж из 4,"Бишкек, 4 м-н",$ 77 500,6 718 475 сом
3,70 м2,11 этаж из 14,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",$ 115 000,9 969 350 сом
3,84 м2,8 этаж из 14,"Бишкек, Джал 15 м-н",$ 125 000,10 836 250 сом
1,45.6 м2,2 этаж из 4,"Бишкек, КНУ, Кекол 12",$ 57 500,4 984 675 сом
5,157.5 м2,10 этаж из 16,"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",$ 170 100,14 745 969 сом
1,48 м2,10 этаж из 13,"Бишкек, АЮ Grand, мкр. Тунгуч",$ 44 500,3 857 705 сом
3,62 м2,3 этаж из 4,"Бишкек, Молодая Гвардия",$ 83 000,7 195 270 сом
1,20 м2,2 этаж из 5,"Бишкек, Парк Ататюрк",$ 27 000,2 340 630 сом
2,85.27 м2,12 этаж из 12,"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",$ 93 797,8 131 262 сом
3,71.2 м2,1 этаж из 3,"Бишкек, Гоин, Усенбаева, 140",$ 113 500,9 839 315 сом
2,90 м2,5 этаж из 10,"Бишкек, Старый аэропорт, Ажыбек Баатыра/Джунусалиева",$ 185 000,16 037 650 сом
3,108 м2,2 этаж из 12,"Бишкек, Мед. академия, Абая, 58",$ 142 000,12 309 980 сом
2,73.4 м2,3 этаж из 10,"Бишкек, Нижний Токольдош, Восток-5 по ул. Кийизбаева 54",$ 83 620,7 249 018 сом
1,37 м2,9 этаж из 10,"Бишкек, Магистраль, Куттубаева/Южная Магистраль",$ 42 500,3 684 325 сом
2,55 м2,9 этаж из 9,"Бишкек, с. Кок-Джар, с. Кок-Джар Бейшена Егимбаева, 145/1",$ 68 000,5 894 920 сом
3,85 м2,16 этаж из 17,"Бишкек, Магистраль, Токомбаева, 21",$ 72 500,6 285 025 сом
5,97 м2,1 этаж из 5,"Бишкек, 5 м-н",$ 149 000,12 916 810 сом
2,110.76 м2,2 этаж из 10,"Бишкек, Магистраль, Токомбаева, 21 к 3б",$ 143 000,12 396 670 сом
5,154 м2,12 этаж из 14,"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",$ 300 000,26 007 000 сом
2,62 м2,1 этаж из 9,"Бишкек, Ден Сяопина - Фучика,  ул Фучика 38/2 67",$ 88 000,7 628 720 сом
1,45.33 м2,7 этаж из 15,"Бишкек, АЮ Grand, Ауэзова 5/3",$ 40 500,3 510 945 сом
2,63 м2,8 этаж из 12,"Бишкек, 12 м-н, Токомбаева 52а/2.",$ 105 500,9 145 795 сом
1,53 м2,4 этаж из 12,"Бишкек, Магистраль, Б. Баатыра 4б/1/А. Токомбаева",$ 70 000,6 068 300 сом
2,68 м2,3 этаж из 5,"Бишкек, АУЦА, напротив мкрн. Асанбай",$ 125 800,10 905 602 сом
1,26.2 м2,1 этаж из 3,"Бишкек, Западный автовокзал 26/кулиева",$ 35 800,3 103 502 сом
1,53 м2,9 этаж из 11,"Бишкек, Магистраль",$ 58 300,5 054 027 сом
1,44 м2,4 этаж из 10,"Бишкек, Нижний Токольдош, Кийизбаева",$ 65 000,5 634 850 сом
2,68 м2,9 этаж из 9,"Бишкек, Улан-2 м-н",$ 87 900,7 620 051 сом
1,50 м2,9 этаж из 14,"Бишкек, Карпинка",$ 70 000,6 068 300 сом
5,130 м2,4 этаж из 10,"Бишкек, Аламедин-1 м-н, Загорская 30",$ 230 000,19 936 400 сом
2,84 м2,8 этаж из 12,"Бишкек, Джальская больница",$ 109 200,9 465 456 сом
3,63 м2,10 этаж из 12,"Бишкек, Госрегистр, проспект Чынгыза Айтматова 4/1",$ 115 000,9 969 350 сом
3,112 м2,11 этаж из 14,"Бишкек, Магистраль, пр-т Ч. Айтматова/А. Масалиева",$ 168 000,14 563 920 сом
2,82 м2,7 этаж из 12,"Бишкек, Вечерка, Турусбековп 88",$ 149 000,12 916 810 сом
3,83 м2,10 этаж из 12,"Бишкек, с. Кок-Джар",$ 116 500,10 099 385 сом
1,32 м2,2 этаж из 3,"Бишкек, Московская - Белинка",$ 52 000,4 507 880 сом
1,44 м2,13 этаж из 14,"Бишкек, Магистраль",$ 70 000,6 068 300 сом
3,137.2 м2,10 этаж из 10,"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",$ 215 000,18 638 350 сом
3,102 м2,14 этаж из 18,"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",$ 170 000,14 737 300 сом
3,60 м2,2 этаж из 4,"Бишкек, с. Новопавловка, Деповская",$ 46 000,3 987 740 сом
2,80 м2,3 этаж из 10,"Бишкек, БГУ",$ 124 500,10 792 905 сом
2,53 м2,2 этаж из 2,"Бишкек, Учкун ж/м",$ 63 500,5 504 180 сом
1,40 м2,4 этаж из 4,"Бишкек, Восточный автовокзал",$ 58 000,5 028 020 сом
1,42.6 м2,3 этаж из 9,"Бишкек, Джал-29 м-н",$ 61 000,5 288 090 сом
1,41 м2,5 этаж из 11,"Бишкек, Городок строителей, просп. Чуй/Ауэзова",$ 65 000,5 634 850 сом
2,70 м2,7 этаж из 11,"Бишкек, Ипподром, Л. Толстого",$ 91 500,7 932 135 сом
2,44 м2,3 этаж из 4,"Бишкек, Молодая Гвардия",$ 73 000,6 328 370 сом
2,79 м2,2 этаж из 14,"Бишкек, 12 м-н",$ 134 500,11 659 805 сом
3,105 м2,14 этаж из 14,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",$ 127 000,11 008 360 сом
2,50 м2,2 этаж из 5,"Бишкек, 12 м-н, ДК",$ 84 500,7 325 305 сом
2,48.9 м2,5 этаж из 5,"Бишкек, Кара Дарыя, Медерова, 3",$ 68 000,5 894 920 сом
1,52 м2,11 этаж из 11,"Бишкек, Джал-23 м-н (Нижний Джал), Ахунбаева",$ 65 500,5 678 195 сом
2,43 м2,4 этаж из 4,"Бишкек, 8 м-н, Ж.Пудовкина",$ 71 500,6 198 335 сом
3,146.4 м2,5 этаж из 8,"Бишкек, Московская - Уметалиева, Сыдыкова, 179",$ 178 000,15 430 820 сом
3,58 м2,4 этаж из 5,"Бишкек, Московская - Уметалиева, Турусбекова/Московская",$ 89 500,7 758 755 сом
3,76 м2,5 этаж из 5,"Бишкек, Молодая Гвардия, Чокморова",$ 86 500,7 498 685 сом
2,42 м2,2 этаж из 4,"Бишкек, Орозбекова - Жибек-Жолу, Жибек-Жолу пр-т, 491",$ 73 000,6 328 370 сом
3,70 м2,3 этаж из 9,"Бишкек, Джал-23 м-н (Нижний Джал), Суворовское училище",$ 92 500,8 018 825 сом
2,68 м2,8 этаж из 9,"Бишкек, Академия Наук, Турусбекова, 88",$ 135 000,11 703 150 сом
3,61.8 м2,9 этаж из 9,"Бишкек, Ипподром, термечикова 2/лев толстой",$ 89 000,7 715 410 сом
2,51 м2,3 этаж из 5,"Бишкек, Ипподром, Термечикова 6",$ 77 800,6 744 482 сом
3,100 м2,14 этаж из 14,"Бишкек, Магистраль,  ул. Куттубаева, 15",$ 75 000,6 501 750 сом
3,144 м2,3 этаж из 12,"Бишкек, Магистраль, Токомбаева/Сухэ Батора",$ 173 000,14 997 370 сом
5,80 м2,9 этаж из 9,"Бишкек, Юг-2 м-н, Советская- Кулатова/Советская- Горького",$ 123 000,10 662 870 сом
5,167 м2,11 этаж из 12,"Бишкек, Магистраль, Сухэ Батора/Токомбаева",$ 192 050,16 648 815 сом
1,45 м2,6 этаж из 9,"Бишкек, Баха, Булана Насирова 1/3/Ахунбаева",$ 65 500,5 678 195 сом
1,47 м2,4 этаж из 9,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",$ 73 000,6 328 370 сом
2,47 м2,1 этаж из 5,"Бишкек, Кара-Жыгач ж/м",$ 58 000,5 028 020 сом
8,160 м2,10 этаж из 10,"Бишкек, Горького - Панфилова, абая 40",$ 220 000,19 071 800 сом
3,96 м2,8 этаж из 16,"Бишкек, Асанбай м-н, Сухэ Батора/Токомбаева",$ 134 400,11 651 136 сом
2,73 м2,15 этаж из 16,"Бишкек, Военторг, Манасчы Сагынбая 168",$ 98 550,8 543 300 сом
2,75 м2,12 этаж из 16,"Бишкек, Гагарина,  ул.Поваринская, мкр. Джал",$ 96 500,8 365 585 сом
3,122 м2,10 этаж из 14,"Бишкек, Магистраль, пр. Ч. Айтматова",$ 215 000,18 638 350 сом
3,110 м2,7 этаж из 12,"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",$ 187 000,16 211 030 сом
2,54 м2,12 этаж из 14,"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",$ 102 000,8 842 380 сом
3,105 м2,9 этаж из 10,"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",$ 100 000,8 669 000 сом
3,97 м2,6 этаж из 16,"Бишкек, Гагарина,  ул.Поваринская, мкр. Джал",$ 113 000,9 795 970 сом
3,122 м2,9 этаж из 12,"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",$ 128 100,11 104 989 сом
7,210 м2,13 этаж из 13,"Бишкек, Золотой квадрат, Орозбекова/Чокморова",$ 336 000,29 127 840 сом
2,63.3 м2,11 этаж из 12,"Бишкек, ЦУМ 176",$ 88 000,7 628 720 сом
3,86 м2,12 этаж из 13,"Бишкек, Магистраль, м-н. Асанбай, ул. Аалы Токомбаева",$ 115 000,9 969 350 сом
1,44.6 м2,1 этаж из 9,"Бишкек, Горького - Алма-Атинская,  ул. 7-Апреля, 155в/ул. Горького",$ 44 500,3 857 705 сом
2,71 м2,5 этаж из 10,"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",$ 73 500,6 371 715 сом
1,36 м2,13 этаж из 14,"Бишкек, Магистраль,  ул. Куттубаева, 15",$ 50 000,4 334 500 сом
1,51 м2,13 этаж из 15,"Бишкек, Кулатова- Матросова, Льва Толстого 6К/Матросова",$ 59 000,5 114 710 сом
2,52.18 м2,5 этаж из 14,"Бишкек, с. Кок-Джар, мкр. Кок Жар",$ 55 000,4 767 950 сом
1,38 м2,11 этаж из 12,"Бишкек, Восток-5 м-н",$ 53 500,4 637 915 сом
2,64.5 м2,1 этаж из 1,"Бишкек, Кудайберген, Волкова",$ 72 000,6 241 680 сом
2,58 м2,12 этаж из 12,"Бишкек, Магистраль, Токомбаева стр. 21/2",$ 87 000,7 542 030 сом
2,75 м2,8 этаж из 14,"Бишкек, Кулатова- Матросова, Матросова, 1а ст2/Льва Толстого",$ 100 000,8 669 000 сом
2,68 м2,7 этаж из 9,"Бишкек, Горького - Алма-Атинская, Алматинка (7 Апреля)/Горького Анкара",$ 63 000,5 461 470 сом
1,47.2 м2,3 этаж из 3,"Бишкек, Кызыл-Аскер ж/м",$ 45 000,3 901 050 сом
2,55 м2,1 этаж из 5,"Бишкек, VEFA",$ 86 500,7 498 685 сом
3,61 м2,2 этаж из 5,"Бишкек, Лебединовка",$ 79 000,6 848 510 сом
2,44 м2,1 этаж из 4,"Бишкек, 6 м-н",$ 76 000,6 588 440 сом
3,108 м2,10 этаж из 12,"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",$ 112 000,9 709 280 сом
5,146 м2,9 этаж из 10,"Бишкек, Московская - Уметалиева, Уметалиева/Сыдыкова",$ 235 000,20 372 150 сом
2,54 м2,7 этаж из 12,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",$ 115 000,9 969 350 сом
3,130 м2,6 этаж из 14,"Бишкек, Асанбай м-н, Байтик Баатыра (недалеко от Южных ворот)",$ 169 000,14 650 610 сом
3,58 м2,1 этаж из 4,"Бишкек, БГУ",$ 87 000,7 542 030 сом
2,75 м2,11 этаж из 14,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",$ 102 500,8 885 725 сом
2,50 м2,14 этаж из 17,"Бишкек, Советская - Скрябина, Медерова 44/2 / Жукеева-Пудовкина",$ 67 300,5 834 237 сом
2,45 м2,6 этаж из 8,"Бишкек, АЮ Grand",$ 70 000,6 068 300 сом
3,76 м2,5 этаж из 7,"Бишкек, Верхний Джал м-н",$ 100 000,8 669 000 сом
2,85 м2,12 этаж из 15,"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",$ 97 750,8 473 948 сом
2,60 м2,14 этаж из 15,"Бишкек, Карла Маркса,  ул. Юнусалиева, пер.Карасаева",$ 84 000,7 281 960 сом
3,58 м2,3 этаж из 4,"Бишкек, Парк Панфилова/Спартак",$ 77 000,6 675 130 сом
1,55 м2,7 этаж из 16,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",$ 55 000,4 767 950 сом
5,78 м2,3 этаж из 3,"Бишкек, Рабочий Городок, Январский переулок",$ 105 000,9 102 450 сом
3,123.65 м2,5 этаж из 18,"Бишкек, Магистраль, Токомбаева-Сухэ-батора",$ 173 110,15 006 906 сом
3,112 м2,15 этаж из 20,"Бишкек, Госрегистр, Л.Толстого и пр. Чынгыза Айтматова",$ 134 400,11 651 136 сом
5,174 м2,2 этаж из 3,"Бишкек, Киргизия-2 м-н",$ 275 000,23 839 750 сом
3,158 м2,7 этаж из 8,"Бишкек, Юг-2 м-н",$ 230 000,19 938 700 сом
3,104 м2,9 этаж из 14,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",$ 190 000,16 471 100 сом
5,182 м2,11 этаж из 14,"Бишкек, Джальская больница",$ 350 000,30 341 500 сом
2,61.7 м2,15 этаж из 25,"Бишкек, Магистраль, Б.Баатыра/А.Токомбаева",$ 92 550,8 023 160 сом
1,47.1 м2,9 этаж из 12,"Бишкек, Кок-Жар ж/м, Куйручука 28",$ 52 000,4 507 880 сом
2,75 м2,5 этаж из 12,"Бишкек, Карла Маркса, Медерова 8/1",$ 116 000,10 056 040 сом
5,113 м2,10 этаж из 13,"Бишкек, Московская - Уметалиева, Боконбаева-Уметалиева 8",$ 178 000,15 430 820 сом
2,59 м2,15 этаж из 16,"Бишкек, Асанбай м-н, Токомбаева/Куттубаева",$ 63 500,5 504 815 сом
2,68 м2,5 этаж из 12,"Бишкек, Баха",$ 88 000,7 628 720 сом
5,136 м2,12 этаж из 15,"Бишкек, Московская - Белинка, Турусбекова/Боконбаева",$ 272 000,23 579 680 сом
3,108 м2,4 этаж из 8,"Бишкек, Магистраль, Токомбаева 29",$ 162 000,14 043 780 сом
2,55 м2,9 этаж из 18,"Бишкек, Магистраль, Токомбаева / Куттубаева",$ 69 500,6 024 955 сом
3,83 м2,5 этаж из 10,"Бишкек, с. Орто-Сай",$ 99 600,8 634 324 сом
2,70 м2,3 этаж из 9,"Бишкек, Кок-Жар ж/м, Куйручука 28",$ 82 000,7 108 580 сом
2,79.4 м2,9 этаж из 14,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",$ 91 310,7 915 664 сом
2,70 м2,1 этаж из 9,"Бишкек, Кок-Жар ж/м, Молдокулва/Санжыра",$ 90 500,7 845 445 сом
6,250 м2,9 этаж из 10,"Бишкек, Магистраль",$ 430 000,37 276 700 сом
2,39 м2,1 этаж из 2,"Бишкек, Кок-Жар м-н",$ 57 000,4 941 330 сом
1,41.48 м2,9 этаж из 15,"Бишкек, Джал 15 м-н, Джал-15 мкр, 1",$ 48 000,4 161 120 сом
2,56 м2,2 этаж из 2,"Бишкек, Кудайберген",$ 60 000,5 201 400 сом
5,106 м2,2 этаж из 12,"Бишкек, Политех, Ажыбек-Баатыра 7",$ 198 000,17 164 620 сом
1,49 м2,14 этаж из 17,"Бишкек, Советская - Скрябина, Медерова 44/2 / Жукеева-Пудовкина",$ 67 500,5 851 575 сом
2,64.6 м2,6 этаж из 15,"Бишкек, VEFA, Байтик-Баатыра 37",$ 103 000,8 929 070 сом
2,44 м2,3 этаж из 4,"Бишкек, Парк Ататюрк, Малдыбаева",$ 67 500,5 851 575 сом
5,158 м2,2 этаж из 7,"Бишкек, Магистраль, Б. Баатыра/А.Токомбаева",$ 213 000,18 464 970 сом
3,117 м2,11 этаж из 14,"Бишкек, 12 м-н, 12-й микрорайон, 13",$ 145 000,12 570 050 сом
5,150 м2,7 этаж из 12,"Бишкек, 8 м-н, Токонбаева/Магистраль",$ 195 000,16 904 550 сом
2,95 м2,5 этаж из 13,"Бишкек, ЖД вокзал, бул. Эркиндик 1",$ 180 500,15 647 545 сом
2,90 м2,5 этаж из 12,"Бишкек, Военторг, Токтогула 140",$ 180 000,15 604 200 сом
2,69 м2,6 этаж из 9,"Бишкек, Верхний Джал м-н",$ 105 000,9 102 450 сом
2,80 м2,9 этаж из 11,"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",$ 148 000,12 830 120 сом
2,60 м2,13 этаж из 14,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",$ 133 000,11 529 770 сом
3,120 м2,7 этаж из 15,"Бишкек, 7 м-н, 7 мкр., ул. Юнусалиева",$ 300 000,26 007 000 сом
7,220 м2,2 этаж из 2,"Бишкек, Кудайберген/Д.Сяпина",$ 260 000,22 539 400 сом
1,52 м2,4 этаж из 12,"Бишкек, Баха, Курчатова 46/Ахунбаева",$ 59 800,5 184 062 сом
2,66.4 м2,13 этаж из 14,"Бишкек, с. Кок-Джар, мкр. Кок Жар",$ 67 999,5 894 833 сом
1,52 м2,7 этаж из 9,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",$ 68 000,5 894 920 сом
1,47 м2,9 этаж из 9,"Бишкек, Нижний Токольдош, Кийизбаева",$ 66 000,5 721 540 сом
3,121 м2,3 этаж из 3,"Бишкек, Ынтымак ж/м",$ 155 000,13 435 400 сом
3,95 м2,9 этаж из 12,"Бишкек, Пишпек ж/м, Репина/М. Алыбаева",$ 76 000,6 588 440 сом
2,48 м2,2 этаж из 5,"Бишкек, Центральная мечеть, Акматбека Суйунбаева",$ 72 300,6 266 964 сом
5,141 м2,9 этаж из 16,"Бишкек, Военторг, Манасчы Сагынбая 168",$ 147 000,12 743 430 сом
1,62 м2,8 этаж из 12,"Бишкек, Космос, Абая 93/1",$ 71 300,6 180 997 сом
2,77 м2,7 этаж из 14,"Бишкек, Кок-Жар ж/м,  ул. 7 Апреля / Молдокулова",$ 93 300,8 087 244 сом
3,96 м2,11 этаж из 14,"Бишкек, Магистраль",$ 89 000,7 715 410 сом
1,44 м2,2 этаж из 14,"Бишкек, Магистраль",$ 78 500,6 805 165 сом
1,43 м2,6 этаж из 23,"Бишкек, Магистраль, Токомбаева/Байтик баатыра",$ 43 000,3 727 670 сом
2,63 м2,6 этаж из 15,"Бишкек, Карла Маркса,  ул. Юнусалиева, пер.Карасаева",$ 87 000,7 542 030 сом
2,52 м2,16 этаж из 18,"Бишкек, Магистраль",$ 68 000,5 894 920 сом
2,74 м2,4 этаж из 15,"Бишкек, 11 м-н,  ул. Саякабай Каралаева 13/9",$ 98 880,8 571 907 сом
1,13 м2,2 этаж из 5,"Бишкек, Парк Ататюрк",$ 26 500,2 297 285 сом
3,96 м2,11 этаж из 14,"Бишкек, Магистраль",$ 89 000,7 715 410 сом
1,45 м2,4 этаж из 5,"Бишкек, Чуй - Алматинка, шабдан баатыра",$ 72 000,6 241 680 сом
2,52 м2,13 этаж из 14,"Бишкек, Кок-Жар м-н",$ 63 000,5 461 470 сом
1,29 м2,4 этаж из 4,"Бишкек, Политех",$ 54 590,4 732 407 сом
2,83.7 м2,7 этаж из 12,"Бишкек, Лебединовка, Ленина 140",$ 86 000,7 455 340 сом
2,53 м2,9 этаж из 9,"Бишкек, Ала-Арча 3, ​Байтик Баатыра 4в/1",$ 75 000,6 501 750 сом
3,70 м2,3 этаж из 9,"Бишкек, Средний Джал м-н, джал",$ 100 000,8 669 000 сом
1,42 м2,9 этаж из 10,"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",$ 45 500,3 944 395 сом
3,86 м2,3 этаж из 15,"Бишкек, VEFA, Кулатова/Элебаева",$ 158 000,13 697 020 сом
1,45 м2,9 этаж из 9,"Бишкек, Улан-2 м-н",$ 57 500,4 984 675 сом
1,44 м2,5 этаж из 9,"Бишкек, Нижний Токольдош",$ 57 500,4 984 675 сом
1,47 м2,4 этаж из 9,"Бишкек, Чуй - Алматинка, Салиева 229",$ 61 000,5 288 090 сом
2,80 м2,4 этаж из 12,"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",$ 106 000,9 189 140 сом
2,58 м2,5 этаж из 12,"Бишкек, АЮ Grand, Исакеева 2",$ 78 000,6 761 820 сом
2,72 м2,3 этаж из 12,"Бишкек, с. Кок-Джар, Конур осмон 6/1",$ 100 000,8 669 000 сом
3,100 м2,12 этаж из 14,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",$ 78 000,6 761 040 сом
3,71 м2,14 этаж из 14,"Бишкек, Гагарина, Джал, ул. Курчатова 81",$ 105 000,9 102 450 сом
3,100 м2,13 этаж из 16,"Бишкек, Верхний Джал м-н",$ 136 000,11 789 840 сом
1,44 м2,4 этаж из 9,"Бишкек, Учкун м-н/Ауэзова",$ 44 000,3 814 360 сом
1,48 м2,8 этаж из 14,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",$ 86 400,7 490 016 сом
2,78 м2,10 этаж из 12,"Бишкек, Джальская больница, Ахунбаева/Тыналиева",$ 107 000,9 275 830 сом
5,57 м2,1 этаж из 4,Беловодское,$ 70 000,6 068 300 сом
2,82 м2,7 этаж из 9,"Бишкек, Джальская больница, Симферопольский переулок 10а",$ 98 400,8 530 296 сом
3,100 м2,9 этаж из 14,"Бишкек, Баха, Джал, ул. Курчатова 81",$ 149 000,12 916 810 сом
3,131 м2,13 этаж из 14,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",$ 197 000,17 077 930 сом
1,45 м2,6 этаж из 12,"Бишкек, Магистраль,  ул. Куттубаева, 15",$ 73 500,6 370 980 сом
2,49 м2,4 этаж из 4,"Иссык-Кульская область, Чолпон-Ата",$ 58 800,5 097 372 сом
1,40 м2,4 этаж из 5,"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева",$ 60 000,5 201 400 сом
1,58 м2,8 этаж из 9,"Бишкек, ТЭЦ, Акылбекова 55/Достоевская",$ 59 900,5 192 731 сом
1,28 м2,,"Бишкек, Улан-2 м-н",$ 28 500,2 470 665 сом
1,28 м2,1 этаж из 4,"Бишкек, Аламединский рынок",$ 36 000,3 120 840 сом
2,70 м2,10 этаж из 14,"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",$ 120 000,10 402 800 сом
2,65 м2,6 этаж из 9,"Бишкек, Верхний Джал м-н",$ 82 000,7 108 580 сом
2,44 м2,2 этаж из 5,"Бишкек, Кара-Жыгач ж/м",$ 57 000,4 941 330 сом
2,72 м2,2 этаж из 12,"Бишкек, Кок-Жар м-н",$ 92 000,7 975 480 сом
3,147 м2,5 этаж из 8,"Бишкек, Московская - Уметалиева",$ 180 000,15 604 200 сом
3,109 м2,7 этаж из 10,"Бишкек, 7 м-н 52/3",$ 163 500,14 173 815 сом
1,43 м2,2 этаж из 10,"Бишкек, Гагарина/Гагарина",$ 62 000,5 374 780 сом
2,55 м2,3 этаж из 14,"Бишкек, Магистраль,  ул. Куттубаева, 15",$ 96 000,8 322 240 сом
2,55 м2,9 этаж из 9,"Бишкек, Аламедин-1 м-н",$ 75 000,6 501 750 сом
2,84.7 м2,11 этаж из 16,"Бишкек, Верхний Джал м-н",$ 93 200,8 079 508 сом
3,55.3 м2,1 этаж из 5,"Бишкек, Московская - Уметалиева, Тимирязева 56/Токтогула",$ 100 000,8 669 000 сом
1,36 м2,,"Бишкек, Ак-Ордо ж/м 61/тагай бий",$ 36 000,3 120 840 сом
2,72 м2,10 этаж из 10,"Бишкек, 4 м-н, 4 мкр 7/2",$ 108 000,9 362 520 сом
2,49 м2,4 этаж из 10,"Бишкек, Ак Кеме",$ 97 000,8 408 930 сом
1,40.7 м2,3 этаж из 9,"Бишкек, Кызыл-Аскер ж/м, Джамгерчинова 291/Патриса Лумумбы",$ 43 000,3 727 670 сом
