Количество комнат,Площадь,Этаж,Полный адрес,Цена (доллары),Цена (сомы)
5,130 м2,8 этаж из 9,"Бишкек, Старый аэропорт, Ажыбек Баатыра стр. 2/1-2",$ 149 000,12 916 810 сом
2,75 м2,4 этаж из 9,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",$ 124 600,10 801 574 сом
3,62 м2,5 этаж из 9,"Бишкек, Центральная мечеть",$ 114 000,9 882 660 сом
2,50 м2,5 этаж из 9,"Бишкек, Аламедин-1 м-н",$ 72 500,6 285 025 сом
1,46 м2,12 этаж из 12,"Бишкек, Нижний Токольдош,  ул. Кийизбаева/Передовая (мкрн. ""Восток-5"") 28/Армейская",$ 66 000,5 721 540 сом
1,53 м2,4 этаж из 9,"Бишкек, Горького - Алма-Атинская",$ 70 000,6 068 300 сом
2,43 м2,4 этаж из 12,"Бишкек, Нижний Токольдош, Кийизбаева 33",$ 65 000,5 634 850 сом
1,45 м2,9 этаж из 9,"Бишкек, Джал-29 м-н, Верхний Джал",$ 63 000,5 461 470 сом
1,36 м2,6 этаж из 9,"Бишкек, Юг-2 м-н 15",$ 55 400,4 802 626 сом
1,38 м2,4 этаж из 9,"Бишкек, Ден Сяопина - Фучика, Фучика 38/2/Рыскулова",$ 57 000,4 941 330 сом
5,180 м2,11 этаж из 13,"Бишкек, Магистраль, Токомбаева/Сухэ Батора",$ 500 000,43 345 000 сом
1,39 м2,3 этаж из 9,"Бишкек, Кызыл-Аскер ж/м, Джамгерчинова 291/Патриса Лумумбы",$ 39 900,3 458 931 сом
3,58 м2,4 этаж из 4,"Бишкек, 11 м-н",$ 84 100,7 290 629 сом
2,48 м2,6 этаж из 9,"Бишкек, Лебединовка, Мичурина 121",$ 43 000,3 727 670 сом
1,31 м2,4 этаж из 4,"Бишкек, Пишпек ж/м, Льва Толстого",$ 49 900,4 325 831 сом
2,73.6 м2,10 этаж из 10,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 173 000,14 997 370 сом
7,320 м2,9 этаж из 10,"Бишкек, Сквер Тоголок Молдо",$ 480 000,41 611 200 сом
2,82 м2,14 этаж из 14,"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",$ 89 000,7 715 410 сом
3,72 м2,2 этаж из 9,"Бишкек, 6 м-н",$ 105 000,9 102 450 сом
2,69 м2,10 этаж из 12,"Бишкек, АЮ Grand,  ул.Анкар  1/13",$ 94 500,8 192 205 сом
2,52.3 м2,1 этаж из 3,"Бишкек, Молодая Гвардия/Токтогула",$ 68 000,5 894 920 сом
1,35 м2,8 этаж из 9,"Бишкек, Кок-Жар м-н",$ 57 200,4 958 668 сом
2,48 м2,3 этаж из 5,"Бишкек, Асанбай м-н, Асанбай мкр., 50",$ 88 000,7 628 720 сом
1,36 м2,1 этаж из 9,"Бишкек, Джал-23 м-н (Нижний Джал) 98",$ 62 800,5 444 132 сом
2,86 м2,14 этаж из 16,"Бишкек, Золотой квадрат, Панфилова 145",$ 137 600,11 928 544 сом
1,12 м2,2 этаж из 4,"Ошская область, Ош, Улица Салиева 32",$ 17 072,1 480 000 сом
3,109 м2,9 этаж из 14,"Бишкек, Сквер Тоголок Молдо, Манасчы Сагымбая 135",$ 250 000,21 672 500 сом
1,53 м2,15 этаж из 17,"Бишкек, Ипподром, Л. Толстого 126",$ 47 500,4 117 775 сом
1,58.3 м2,9 этаж из 12,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 110 000,9 535 900 сом
2,77 м2,6 этаж из 7,"Ошская область, Ош",$ 64 900,5 626 181 сом
1,41.42 м2,4 этаж из 14,"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",$ 57 000,4 941 330 сом
2,75 м2,5 этаж из 12,"Бишкек, Джальская больница,  ул. Айни 95",$ 109 000,9 449 210 сом
1,45 м2,2 этаж из 9,"Бишкек, 5 м-н",$ 75 000,6 501 750 сом
3,80 м2,3 этаж из 7,"Бишкек, Верхний Джал м-н",$ 95 800,8 304 902 сом
1,39 м2,5 этаж из 12,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",$ 73 500,6 371 715 сом
2,52 м2,8 этаж из 9,"Бишкек, Асанбай м-н, г\м Глобус",$ 92 000,7 975 480 сом
2,52 м2,7 этаж из 9,"Бишкек, 12 м-н",$ 88 000,7 628 720 сом
2,43 м2,2 этаж из 4,"Бишкек, Политех, Ш.Руставели/Ахунбаева",$ 67 500,5 851 575 сом
3,100 м2,2 этаж из 9,"Бишкек, Восточный автовокзал, Жумабека 9",$ 137 000,11 876 530 сом
1,36 м2,8 этаж из 10,"Бишкек, Кок-Жар ж/м/Медерова",$ 53 000,4 594 570 сом
3,58 м2,3 этаж из 5,"Бишкек, Центральная мечеть, Гоголя",$ 80 500,6 978 545 сом
3,120 м2,11 этаж из 16,"Бишкек, Бишкек-Парк, Токтогула/Исанова",$ 138 000,11 963 220 сом
3,108 м2,6 этаж из 9,"Бишкек, Моссовет, Тыныстанова/Боконбаева",$ 165 000,14 303 850 сом
3,109 м2,10 этаж из 13,"Бишкек, Ак Кеме, Минжилкиева 117",$ 245 000,21 239 050 сом
2,43 м2,3 этаж из 5,"Бишкек, Московская - Уметалиева, Турусбекова/Московская",$ 77 500,6 718 475 сом
5,238 м2,1 этаж из 5,"Бишкек, Парк Ататюрк",$ 340 000,29 474 600 сом
2,50 м2,5 этаж из 5,"Бишкек, Центральная мечеть, Гоголя",$ 79 500,6 891 855 сом
1,50.59 м2,10 этаж из 15,"Бишкек, Магистраль",$ 66 000,5 721 540 сом
5,150 м2,2 этаж из 3,"Бишкек, Киргизия-2 м-н",$ 290 000,25 140 100 сом
1,34 м2,5 этаж из 9,"Бишкек, Городок энергетиков, Зеленая",$ 55 000,4 767 950 сом
3,100 м2,10 этаж из 10,"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",$ 220 000,19 071 800 сом
1,36 м2,8 этаж из 9,"Бишкек, Джал-23 м-н (Нижний Джал), Онтарио",$ 62 500,5 418 125 сом
3,80 м2,4 этаж из 14,"Бишкек, Магистраль, Байтик Баатыра (недалеко от Южных ворот)",$ 185 000,16 037 650 сом
1,34 м2,1 этаж из 5,"Бишкек, Восток-5 м-н, Арбат",$ 54 500,4 724 605 сом
1,43 м2,10 этаж из 20,"Бишкек, Госрегистр, Л.Толстого и пр. Чынгыза Айтматова",$ 56 500,4 897 985 сом
3,63 м2,1 этаж из 5,"Бишкек, Асанбай м-н 44",$ 105 000,9 102 450 сом
3,84 м2,7 этаж из 10,"Бишкек, Гагарина,  ул.Космическая 96",$ 73 500,6 371 715 сом
2,70 м2,3 этаж из 10,"Бишкек, ТЭЦ, Акылбекова 66",$ 89 000,7 715 410 сом
2,60.18 м2,2 этаж из 12,"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",$ 73 500,6 371 715 сом
2,47 м2,10 этаж из 14,"Бишкек, Карпинка, Суюмбаева 123/1",$ 74 500,6 458 405 сом
2,59 м2,10 этаж из 12,"Бишкек, Кара-Жыгач ж/м, Кара-жыгач",$ 83 000,7 195 270 сом
2,77 м2,12 этаж из 14,"Бишкек, АЮ Grand,  ул.Анкар  1/19",$ 68 000,5 894 920 сом
3,82 м2,2 этаж из 9,"Бишкек, Асанбай м-н",$ 116 000,10 056 040 сом
2,70 м2,4 этаж из 9,"Бишкек, Магистраль, Ч. Айтматова/Масалиева",$ 100 000,8 669 000 сом
2,85 м2,10 этаж из 12,"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",$ 98 000,8 495 620 сом
2,95 м2,8 этаж из 9,"Бишкек, Парк Панфилова/Спартак, Эркиндик бульвар, 64Б",$ 136 000,11 789 840 сом
1,29 м2,6 этаж из 12,"Бишкек, 7 м-н",$ 54 000,4 681 260 сом
2,42 м2,2 этаж из 3,"Бишкек, Космос, Панфилова, 9",$ 58 000,5 028 020 сом
1,43 м2,7 этаж из 12,"Бишкек, Магистраль,  ул. Куттубаева, 15",$ 46 000,3 987 740 сом
5,78.11 м2,7 этаж из 12,"Бишкек, Магистраль, Токомбаева, 23",$ 147 500,12 786 775 сом
3,101 м2,5 этаж из 14,"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",$ 180 000,15 604 200 сом
2,76 м2,12 этаж из 12,"Бишкек, Магистраль, Токомбаева, 23",$ 116 000,10 056 040 сом
3,148 м2,4 этаж из 6,"Бишкек, Дордой Плаза, Ибраимова 113/1",$ 227 000,19 678 630 сом
1,45 м2,4 этаж из 9,"Бишкек, с. Кок-Джар, Алма-Атинская/Южная магистраль",$ 63 000,5 461 470 сом
3,78.2 м2,4 этаж из 14,"Бишкек, Горького - Алма-Атинская",$ 70 380,6 101 242 сом
2,50.2 м2,2 этаж из 3,"Бишкек, Ден Сяопина - Фучика, Провсоюзная",$ 65 000,5 634 850 сом
1,44 м2,10 этаж из 10,"Бишкек, Ошский рынок, Чимкентская/Рыскулова",$ 44 000,3 814 360 сом
3,85.5 м2,2 этаж из 5,"Бишкек, Боталиева - Тулебердиева/Васильева",$ 111 150,9 635 594 сом
1,41 м2,3 этаж из 16,"Бишкек, Горького - Алма-Атинская, Горького-7-апреля 1",$ 48 550,4 208 800 сом
1,51 м2,6 этаж из 12,"Ошская область, Ош",$ 56 100,4 863 309 сом
3,64 м2,4 этаж из 4,"Бишкек, 6 м-н 31",$ 101 000,8 755 690 сом
3,110 м2,9 этаж из 14,"Бишкек, Магистраль, Сухе-Батора/А.Токомбаева",$ 156 000,13 523 640 сом
1,44 м2,8 этаж из 9,"Бишкек, Кок-Жар ж/м, Молдокулова 10/2",$ 61 000,5 288 090 сом
2,67 м2,6 этаж из 13,"Бишкек, АЮ Grand,  ул.Анкар  1/19",$ 89 000,7 715 410 сом
1,39 м2,10 этаж из 12,"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",$ 72 500,6 285 025 сом
3,99 м2,10 этаж из 14,"Бишкек, Военторг, Тоголок Молдо/Токтогула",$ 145 000,12 570 050 сом
3,90 м2,10 этаж из 13,"Бишкек, ЖД вокзал, бул. Эркиндик 1",$ 160 000,13 870 400 сом
3,95 м2,5 этаж из 12,"Бишкек, Тунгуч м-н",$ 125 000,10 836 250 сом
3,96 м2,11 этаж из 12,"Бишкек, Нижний Токольдош, Восток-5 по ул. Кийизбаева 54",$ 102 000,8 842 380 сом
